date,tickets,WindSpeed,Precipitation,Snow,Temperature,holidays,weekdays,pickup
2015-07-07,33343.0,4.92,0.12,0.0,81.5,0,1,77704.0
2015-07-08,29461.0,3.13,0.0,0.0,82.5,0,1,87176.0
2015-07-09,32702.0,4.7,0.3,0.0,73.5,0,1,102162.0
2015-07-10,33050.0,4.7,0.0,0.0,78.0,0,1,96778.0
2015-07-11,21744.0,2.46,0.0,0.0,78.5,0,1,106083.0
2015-07-12,9359.0,2.01,0.0,0.0,80.5,0,0,94195.0
2015-07-13,31916.0,2.68,0.0,0.0,80.5,0,0,75309.0
2015-07-14,32521.0,2.68,0.42,0.0,77.5,0,1,89986.0
2015-07-15,28525.0,4.47,0.12,0.0,76.5,0,1,100642.0
2015-07-16,35042.0,5.59,0.0,0.0,72.0,0,1,101547.0
2015-07-17,24153.0,3.8,0.0,0.0,74.0,0,1,102472.0
2015-07-18,16756.0,4.47,0.32,0.0,78.0,0,1,117983.0
2015-07-19,8455.0,3.13,0.0,0.0,85.5,0,0,105779.0
2015-07-20,29425.0,4.47,0.0,0.0,88.0,0,0,90776.0
2015-07-21,33635.0,2.46,0.0,0.0,81.5,0,1,94350.0
2015-07-22,32054.0,5.82,0.0,0.0,77.0,0,1,98462.0
2015-07-23,35583.0,3.8,0.0,0.0,77.0,0,1,104856.0
2015-07-24,34657.0,2.01,0.0,0.0,78.5,0,1,107677.0
2015-07-25,21613.0,3.13,0.0,0.0,78.5,0,1,110997.0
2015-07-26,8590.0,4.47,0.0,0.0,82.0,0,0,98083.0
2015-07-27,32696.0,2.91,0.36,0.0,78.5,0,0,83152.0
2015-07-28,35272.0,2.68,0.0,0.0,85.0,0,1,95748.0
2015-07-29,29657.0,3.8,0.0,0.0,87.0,0,1,103778.0
2015-07-30,32851.0,4.25,1.95,0.0,81.5,0,1,118636.0
2015-07-31,34138.0,3.36,0.0,0.0,80.5,0,1,113662.0
2015-08-01,21040.0,4.47,0.0,0.0,82.0,0,1,118968.0
2015-08-02,9505.0,2.01,0.0,0.0,80.0,0,0,103002.0
2015-08-03,33694.0,4.92,0.0,0.0,82.5,0,0,86259.0
2015-08-04,35722.0,5.37,0.43,0.0,79.0,0,1,96915.0
2015-08-05,33522.0,2.91,0.0,0.0,79.5,0,1,100410.0
2015-08-06,37430.0,2.46,0.0,0.0,75.0,0,1,106716.0
2015-08-07,35252.0,5.37,0.0,0.0,76.5,0,1,110404.0
2015-08-08,20923.0,3.8,0.0,0.0,75.0,0,1,102809.0
2015-08-09,8686.0,3.8,0.0,0.0,76.5,0,0,94205.0
2015-08-10,31312.0,4.47,0.0,0.0,77.0,0,0,79405.0
2015-08-11,31692.0,4.25,1.17,0.0,76.0,0,1,100577.0
2015-08-12,33031.0,4.7,0.0,0.0,78.0,0,1,95919.0
2015-08-13,36342.0,3.13,0.0,0.0,75.0,0,1,102890.0
2015-08-14,32210.0,2.91,0.0,0.0,77.5,0,1,107151.0
2015-08-15,17845.0,3.36,0.0,0.0,82.5,0,1,113352.0
2015-08-16,8733.0,1.57,0.0,0.0,84.5,0,0,102213.0
2015-08-17,31193.0,3.36,0.0,0.0,86.5,0,0,86633.0
2015-08-18,35766.0,4.03,0.29,0.0,81.5,0,1,94298.0
2015-08-19,32557.0,4.03,0.0,0.0,82.0,0,1,100412.0
2015-08-20,36035.0,5.59,0.01,0.0,81.5,0,1,109712.0
2015-08-21,33987.0,4.25,0.32,0.0,79.0,0,1,111336.0
2015-08-22,20144.0,4.47,0.0,0.0,77.5,0,1,115199.0
2015-08-23,8730.0,4.03,0.0,0.0,77.5,0,0,100648.0
2015-08-24,32501.0,2.46,0.0,0.0,80.0,0,0,84325.0
2015-08-25,35465.0,3.8,0.0,0.0,81.5,0,1,90883.0
2015-08-26,32365.0,3.8,0.0,0.0,76.0,0,1,94734.0
2015-08-27,36928.0,3.13,0.0,0.0,74.5,0,1,101768.0
